lat,long,city,state,country,suburb
-30.368,116.265,Watheroo,Western Australia,Australia,Shire Of Moora
-29.224,115.108,,,,
-30.072,115.314,,,,
-27.566,114.673,,,,
-30.145,116.384,Wubin,Western Australia,Australia,Shire Of Dalwallinu
-28.318,114.761,,,,
-28.275,114.676,,,,
-28.258,114.603,,,,
-28.301,113.594,,,,
-28.516,115.37,,,,
-28.209,115.285,,,,
-29.209,115.263,,,,
-29.204,116.025,Morawa,Western Australia,Australia,Shire of Morawa
-30.276,116.671,Dalwallinu,Western Australia,Australia,Shire Of Dalwallinu
-28.76,114.937,,,,
-29.11,115.317,,,,
-29.069,115.092,,,,
-28.957,114.949,,,,
-29.278,114.946,,,,
-28.064,115.19,,,,
-28.89,115.44,,,,
-28.8,115.76,Mullewa,Western Australia,Australia,City Of Greater Geraldton
-29.3,115.66,,,,
-29.029,115.555,,,,
-32.13,116.005,Perth,Western Australia,Australia,
-30.626,115.78,Dandaragan,Western Australia,Australia,Shire Of Dandaragan
-31.862,116.266,Bentley,Western Australia,Australia,
-31.605,116.111,Bullsbrook,Western Australia,Australia,
-32.149,116.076,Kwinana,Western Australia,Australia,
-30.697,115.582,Dandaragan,Western Australia,Australia,Shire Of Dandaragan
-32.089,116.125,Lesmurdie,Western Australia,Australia,
-31.346,115.903,Yanchep,Western Australia,Australia,
-31.928,115.976,Fremantle,Western Australia,Australia,
-32.334,116.076,Mandurah,Western Australia,Australia,
-31.561,116.084,Gingin,Western Australia,Australia,
-31.869,116.017,Cannington,Western Australia,Australia,
-31.897,116.158,,,,
-31.956,116.164,,,,
-30.972,116.209,,,,
-30.338,115.539,Badgingarra,Western Australia,Australia,Shire Of Dandaragan
-32.354,116.005,Serpentine,Western Australia,Australia,Shire of Serpentine-Jarrahdale
-31.143,116.054,,,,
-32.197,116.062,,,,
-31.667,116.019,Bullsbrook,Western Australia,Australia,City of Swan
-31.809,116.0,,,,
-31.791,116.198,Gidgegannup,Western Australia,Australia,City of Swan
-31.732,115.793,,,,
-32.049,115.984,,,,
-32.44,116.074,Serpentine,Western Australia,Australia,Keysbrook
-31.393,116.088,Bindoon,Western Australia,Australia,Shire Of Chittering
-32.111,116.095,,,,
-31.016,115.33,Lancelin,Western Australia,Australia,Shire Of Gingin
-32.402,116.104,Jarrahdale,Western Australia,Australia,Shire of Serpentine-Jarrahdale
-30.308,115.031,Jurien Bay,Western Australia,Australia,Shire Of Dandaragan
-31.851,116.254,Chidlow,Western Australia,Australia,Shire of Mundaring
-31.077,115.508,,,,
-31.329,116.081,,,,
-31.956,115.793,,,,
-32.119,116.121,,,,
-32.101,115.879,,,,
-31.123,115.447,,,,
-31.463,115.864,,,,
-30.799,115.547,,,,
-31.954,116.001,,,,
-32.053,115.765,Fremantle,Western Australia,Australia,
-32.007,115.502,,,,
-32.221,115.808,,,,
-29.949,114.978,Leeman,Western Australia,Australia,Shire Of Coorow
-31.834,116.22,Mount Helena,Western Australia,Australia,Shire of Mundaring
-32.038,116.126,,,,
-32.021,116.117,,,,
-30.893,115.579,,,,
-30.289,115.32,,,,
-31.956,115.762,,,,
-32.039,116.066,,,,
-31.919,115.873,,,,
-32.006,116.136,,,,
-32.396,115.974,Serpentine,Western Australia,Australia,Shire of Serpentine-Jarrahdale
-30.944,116.499,Yerecoin,Western Australia,Australia,Shire Of Victoria Plains
-31.332,115.951,,,,
-31.768,116.248,Gidgegannup,Western Australia,Australia,City of Swan
-32.391,115.849,,,,
-32.243,115.684,,,,
-32.157,115.928,,,,
-32.216,115.876,,,,
-32.47,116.214,,,,
-31.837,115.95,,,,
-31.708,115.724,,,,
-30.574,115.223,,,,
-35.029,117.881,Albany,Western Australia,Australia,
-33.832,116.389,Collie,Western Australia,Australia,
-33.786,115.981,Bunbury,Western Australia,Australia,
-34.468,116.917,Rocky Gully,Western Australia,Australia,Shire Of Plantagenet
-32.684,116.519,,,,
-32.805,116.471,Boddington,Western Australia,Australia,Shire Of Boddington
-33.214,115.85,Australind,Western Australia,Australia,
-33.661,115.346,Busselton,Western Australia,Australia,
-34.373,115.136,Margaret River,Western Australia,Australia,
-33.537,115.019,Dunsborough,Western Australia,Australia,
-34.609,118.751,Wellstead,Western Australia,Australia,City Of Albany
-34.973,117.267,Mount Barker,Western Australia,Australia,
-33.397,115.783,Dardanup,Western Australia,Australia,Shire Of Dardanup
-34.377,116.414,Manjimup,Western Australia,Australia,
-34.962,117.357,Denmark,Western Australia,Australia,Shire Of Denmark
-34.953,117.373,,,,
-33.572,115.825,Donnybrook,Western Australia,Australia,Shire Of Donnybrook-Balingup
-32.71,116.059,Dwellingup,Western Australia,Australia,Shire of Murray
-33.682,121.828,Esperance,Western Australia,Australia,
-34.072,115.099,,,,
-35.015,117.758,Elleker,Western Australia,Australia,City Of Albany
-33.856,116.055,Greenbushes,Western Australia,Australia,Shire Of Bridgetown-Greenbushes
-33.978,116.334,,,,
-34.91,117.994,,,,
-34.488,117.628,Kendenup,Western Australia,Australia,Shire Of Plantagenet
-32.503,115.766,City of Mandurah,Western Australia,Australia,
-34.251,116.145,Manjimup,Western Australia,Australia,Shire Of Manjimup
-33.959,115.064,Margaret River,Western Australia,Australia,Shire Of Augusta Margaret River
-32.856,116.45,Boddington,Western Australia,Australia,Shire Of Boddington
-33.763,122.068,,,,
-34.625,117.636,Mount Barker,Western Australia,Australia,Shire Of Plantagenet
-33.742,121.995,Condingup,Western Australia,Australia,Shire Of Esperance
-33.98,115.766,Nannup,Western Australia,Australia,Shire Of Nannup
-33.997,116.425,,,,
-34.992,116.821,,,,
-34.634,116.124,Northcliffe,Western Australia,Australia,Shire Of Manjimup
-34.448,116.043,Pemberton,Western Australia,Australia,Shire Of Manjimup
-34.435,119.363,Bremer Bay,Western Australia,Australia,Shire Of Jerramungup
-34.98,117.632,,,,
-33.952,115.197,,,,
-33.686,115.401,,,,
-34.367,117.55,Tenterden,Western Australia,Australia,Shire Of Cranbrook
